mz,intensity
426.1437764,770.4855347
426.1449568,0
426.1461372,0
426.1473176,0
426.1484979,0
426.2866355,0
426.2878164,0
426.2889974,0
426.2901783,0
426.2913593,1345.145874
426.2925403,2388.457031
426.2937212,2683.925537
426.2949022,2046.224976
426.2960832,971.1102905
426.2972642,0
426.2984452,0
426.2996262,0
426.3008072,0
426.338602,0
426.3397832,0
426.3409644,0
426.3421455,0
426.3433267,1006.480103
426.3445079,2072.047363
426.3456891,2934.758057
426.3468703,3128.509521
426.3480515,2557.279053
426.3492327,1541.526489
426.3503542,0
426.3515354,0
426.3527166,0
426.3538979,0
426.767629,0
426.7688119,0
426.7699949,0
426.7711778,0
426.7723608,1573.667847
426.7735438,2916.486084
426.7747268,3575.297119
426.7759097,3043.587891
426.7770927,1711.743286
426.7782758,0
426.7794588,0
426.7806418,0
426.7818248,0
426.8658307,0
426.8670141,0
426.8681975,0
426.8693808,0
426.8705642,1193.18689
426.8717476,2066.960205
426.872931,2448.525879
426.8741144,2128.984375
426.8752978,1288.348755
426.8764815,0
426.8776649,0
426.8788483,0
426.8800317,0
427.3703881,0
427.3715736,0
427.3727591,0
427.3739445,0
427.37513,782.5828857
427.3763155,2336.295898
427.377501,4639.351563
427.3786865,6307.598633
427.379872,6085.77832
427.3810575,4122.890137
427.382243,1794.876953
427.3834293,0
427.3846148,0
427.3858003,0
427.3869859,0
428.8465385,0
428.8477302,0
428.8489218,0
428.8501134,0
428.851305,1769.697632
428.8524966,2690.731201
428.8536883,2897.871338
428.8548799,2367.227783
428.8560715,1452.574585
428.8572632,0
428.8584548,0
428.8596465,0
428.8608382,0
428.8822889,0
428.8834807,0
428.8846724,0
428.8858642,0
428.887056,525.1047974
428.8882477,1446.014038
428.8894395,2942.762695
428.8906313,6993.349121
428.8918231,8696.767578
428.8930149,8262.226563
428.8942067,5590.001953
428.8953985,2371.223145
428.8965903,1166.175293
428.8977822,0
428.898974,0
428.9001659,0
428.9013577,0
429.0694554,0
429.0706479,0
429.0718404,0
429.073033,0
429.0742255,1616.752075
429.0754181,2348.706787
429.0766107,2883.642822
429.0778032,2536.808594
429.0789958,1233.582275
429.0801884,0
429.0813809,0
429.0825735,0
429.0837661,0
429.0849587,1256.069702
429.0861513,11416.83398
429.0873439,43125.18359
429.0885365,84013.4375
429.0897291,125083.1406
429.0909218,119223.6797
429.0921144,77061.35156
